ReleveAnnee,ReleveMois,NoOrdre,TitreRMC,AdopCSRegleVote,AdopCSAbs,AdoptCSContre,NoCELEX,ProposAnnee,ProposChrono,ProposOrigine,NoUniqueAnnee,NoUniqueType,NoUniqueChrono,ProposSplittee,Suite2eLecturePE,"COUNCIL PATH",Notes,
2000,1,1,"Council Regulation on Community financial contributions to the International Fund for Ireland",U,,,"32000R0214 ",1999,549,COM,1999,CNS,221,,,,,
2000,1,2,"Council Decision authorising the Kingdom of Denmark and the Kingdom of Sweden to apply a measure derogating from Article 17 of the Sixth Council Directive (77/388/EEC) on the harmonisation of the laws of the Member States relating to turnover taxes",U,,,32000D0091,1999,497,COM,NULL,CS,NULL,,,,,
2000,1,3,"Council Regulation amending Regulation (EEC) No 1696/71 on the common organisation of the market in hops",U,,,"32000R0191 ",1999,302,COM,1999,CNS,128,,,,,
2000,1,4,"Council Decision adopting a supplementary research programme to be implemented by the Joint Research Centre for the European Atomic Energy Community",U,,,32000D0100,1999,578,COM,1999,CNS,232,,,,,
2000,1,5,"Council Decision amending Decision 76/228/ECSC on the granting of daily subsistence allowances and refunds of travel expenses to members of the Consultative Committee of the European Coal and Steel Community",V,DK,,"32000D0099 ",1999,395,COM,NULL,CS,NULL,,,,,
2000,1,6,"Council Decision establishing the Employment Committee",SM,,,"32000D0098 ",1999,440,COM,1999,CNS,192,,,,,
2000,1,7,"Decision of the European Parliament and of the Council adopting a multiannual programme for the promotion of energy efficiency (SAVE) (1998-2002)",V,,,"32000D0647 ",1997,550-5,COM,1997,COD,371,,,,,
2000,1,8,"Decision of the European Parliament and of the Council adopting a multiannual programme for the promotion of renewable energy sources in the Community (ALTENER) (1998-2002)",V,,,32000D0646,1997,550-4,COM,1997,COD,370,,,,,
2000,1,9,"Decision of the European Parliament and of the Council establishing the Culture 2000 programme",V,,,32000D0508,1998,266-2,COM,1998,COD,169,,,,,
2000,1,10,"Council Decision amending Decision 95/514/EC on the equivalence of field inspections carried out in third countries on seed-producing crops and on the equivalence of seed produced in third countries",V,,,51999PC0734,1999,734,COM,NULL,CS,NULL,,,,"Message envoyé à la Commission. There is no Celex number in Prelex document. See email from the Commission: ""Pour ce dossier, l'adoption a été faite par document non publié (voir: http://eur-lex.europa.eu/Notice.do?val=335685:cs&lang=fr&list=335685:cs,&pos=1&page=1&nbl=1&pgs=10&hwords=).""",
2000,1,11,"Council Decision concerning the conclusion of the Agreement concerning the establishing of global technical regulations for wheeled vehicles, equipment and parts which can be fitted and/or be used on wheeled vehicles (""Parallel Agreement"")",V,BE,,"32000D0125 ",1999,27,COM,1999,AVC,11,,,,,
2000,1,12,"Council Regulation amending Regulation (EEC) No 2658/87 on the tariff and statistical nomenclature and the Common Customs Tariff",V,IT,,32000R0254,1999,649,COM,1999,ACC,261,,,,,
