ReleveAnnee,ReleveMois,NoOrdre,TitreRMC,AdopCSRegleVote,AdopCSAbs,AdoptCSContre,NoCELEX,ProposAnnee,ProposChrono,ProposOrigine,NoUniqueAnnee,NoUniqueType,NoUniqueChrono,ProposSplittee,Suite2eLecturePE,"Council Path",Notes
2002,1,1,"Decision No 466/2002/EC of the European Parliament and of the Council of 1 March 2002 laying down a Community action programme promoting non-governmental organisations primarily active in the field of environmental protection",V,,,32002D0466,2001,337-2,COM,2001,COD,139,,,,"ProposChrono in ŒIL and Celex documents (337) is wrong. 337-2 as indicated in Pre-lex document is right. "
2002,1,2,"Directive 2002/7/EC of the European Parliament and of the Council of 18 February 2002 amending Council Directive 96/53/EC laying down for certain road vehicles circulating within the Community the maximum authorised dimensions in national and international traffic and the maximum authorised weights in international traffic",V,,,32002L0007,2000,137,COM,2000,COD,60,,,,
2002,1,3,"Regulation (EC) No 484/2002 of the European Parliament and of the Council of 1 March 2002 amending Council Regulations (EEC) No 881/92 and (EEC) No 3118/93 for the purposes of establishing a driver attestation",V,,,32002R0484,2000,751,COM,2000,COD,297,,,,
2002,1,4,"Regulation of the European Parliament and of the Council
laying down the general principles and requirements of food
law, establishing the European Food Safety Authority and
laying down procedures in matters of food safety",V,,,32002R0178,2000,716,COM,2000,COD,286,,,,
2002,1,5,"Council Regulation amending Regulation (EEC) No 2358/71
on the common organisation of the market in seeds and fixing
the aid granted in the seeds sector for the 2002/2003 and
2003/2004 marketing years",V,,SE,32002R0154,2001,244,COM,2001,CNS,99,,,,
2002,1,6,"Council Decision authorising the Government of Portugal to
grant aid to Portuguese pig farmers who were beneficiaries
of the measures granted in 1994 and 1998",V,,NL,32002D0114,2001,EM,NULL,NULL,CS,NULL,,,,"ProposAnnee, ProposChrono, ProposOrigine, NoUniqueAnnee, NoUniqueType and NoUniqueChrono are missing in Celex document. The act has been taken at the request of Portugal"
2002,1,7,"Council Decision amending Decision 97/413/EC concerning
the objectives and detailed rules for restructuring the
Community fisheries sector for the period from 1 January
1997 to 31 December 2001 with a view to achieving a
balance on a sustainable basis between resources and their
exploitation",V,FR,,32002D0070,2001,322-1,COM,2001,CNS,128,,,,"ProposChrono in Celex and Œil documents (322) is wrong. 322-1 as indicated in pre-lex document is right. "
2002,1,8,"Council Regulation amending Regulation (EC) No 2792/1999
laying down the detailed rules and arrangements regarding
Community structural assistance in the fisheries sector",V,FR,,32002R0179,2001,322-2,COM,2001,CNS,129,,,,"ProposChrono in Celex and Œil documents (322) is wrong. 322-2 as indicated in pre-lex document is right. "
2002,2,1,"Directive of the European Parliament and of the Council
relating to the type-approval of two or three-wheel motor
vehicles and repealing Council Directive 92/61/EEC
(5.2.2002)",V,,,32002L0024,1999,276,COM,1999,COD,117,,Y,,
2002,2,2,"Council Directive amending Directive 92/79/EEC,
Directive 92/80/EEC and Directive 95/59/EC as regards the
structure and rates of excise duty applied on manufactured
tobacco",U,,,32002L0010,2001,133-2,COM,2001,CNS,63,,,,"ProposChrono in ŒIL and Celex documents (133) is wrong. 133-2 as indicated in Pre-lex document is right. "
2002,2,3,"Council Regulation establishing measures to be applicable
in 2002 for the recovery of the stock of cod in the Irish Sea
(ICES Division VIIa)",V,,,32002R0254,2001,699,COM,2001,CNS,279,,,,
2002,2,4,"Directive of the European Parliament and of the Council
amending Council Directive 79/267/EEC as regards the
solvency margin requirements for life assurance
undertakings",V,,,32002L0012,2000,617,COM,2000,COD,249,,,,
2002,2,5,"Directive of the European Parliament and of the Council
amending Council Directive 73/239/EEC as regards the
solvency margin requirements for non-life insurance
undertakings",V,,,32002L0013,2000,634,COM,2000,COD,251,,,,
2002,2,6,"Directive of the European Parliament and of the Council
on a common regulatory framework for electronic
communications networks and services (Framework
Directive)",V,PT,,32002L0021,2000,393,COM,2000,COD,184,,,,"Two different ProposChrono numbers are indicated in Celex document (380 and 393). 393, as indicated in Pre-lex document, is right. "
2002,2,7,"Directive of the European Parliament and of the Council
on access to, and interconnection of, electronic
communications networks and associated facilities
(Access Directive)",V,,,32002L0019,2000,384,COM,2000,COD,186,,,,"Two different ProposChrono numbers are indicated in Celex document (384 and 369). 384, as indicated in Pre-lex document, is right. "
2002,2,8,"Directive of the European Parliament and of the Council
on the authorisation of electronic communications
networks and services (Authorisation Directive)",V,,,32002L0020,2000,386,COM,2000,COD,188,,,,"Two different ProposAnnee and ProposChrono are indicated in Celex document (2000/386/COM and 2001/372/COM). The former is the legislative proposal and the latter the modified legislative proposal. Prelex path in database does not work. Link to Prelex from OEIL document does not work. We cannot find the Prelex document. As indicated in database, OEIL url is: http://www.europarl.europa.eu/oeil/popups/ficheprocedure.do?reference=2000/0188%28COD%29&l=en"
2002,2,9,"Directive of the European Parliament and of the Council
on universal service and users' rights relating to electronic
communications networks and services (Universal Service
Directive)",V,,,32002L0022,2000,392,COM,2000,COD,183,,,,"Two different ProposAnnee and ProposChrono are indicated in Celex document (2000/392/COM and 2001/503/COM).  The former is the legislative proposal and the latter the modified legislative proposal. Prelex path in database does not work. Link to Prelex from OEIL document does not work. We cannot find the Prelex document. As indicated in database OEIL url is: http://www.europarl.europa.eu/oeil/popups/ficheprocedure.do?reference=2000/0183%28COD%29&l=en (for OEIL)"
2002,2,10,"Decision of the European Parliament and of the Council
on a regulatory framework for radio spectrum policy in
the European Community (Radio Spectrum Decision)",V,,,32002D0676,2000,407,COM,2000,COD,187,,,,"Two different ProposAnnee and ProposChrono are indicated in Celex document (2000/407/COM and 2001/524/COM). Both refer to the same legislative act. "
2002,2,11,"Council Directive amending Directive 68/193/EEC on the
marketing of material for the vegetative propagation of the
vine and repealing Directive 74/649/EEC",V,,,32002L0011,2000,59,COM,2000,CNS,36,,,,
2002,2,12,"Council Regulation establishing a facility providing mediumterm
financial assistance for Member States' balances of
payments",U,,,32002R0332,2001,113,COM,2001,CNS,62,,,,
2002,2,13,"Council Regulation amending Regulation (EC) No
1683/95 laying down a uniform format for visas",V,,,32002R0334,2001,577,COM,2001,CNS,232,,,,"2001/157/COM and 2001/CNS/80 as indicated in Celex document is wrong. This act has been withdrawn by the Commission. 2001/577/COM and 2001/CNS/232 as indicated in ŒIL document is right."
2002,2,14,"Council Regulation on a uniform format for forms for
affixing the visa issued by Member States to persons
holding travel documents not recognised by the Member
State drawing up the form",V,,,32002R0333,2001,157-2,COM,2001,CNS,81,,,,"ProposChrono in ŒIL and Celex documents  (157) is wrong. 157-2 as indicated in Pre-lex document is right. No Celex reference in the Pre-Lex document. "
2002,2,15,"Council Regulation amending Regulation (EEC) No 2019/93
introducing specific measures for the smaller Aegean islands
concerning certain agricultural products",V,,,32002R0442,2001,638,COM,2001,CNS,260,,,,
2002,2,16,"Council Decision on Guidelines for Member States'
employment policies for the year 2002",V,,,32002D0177,2001,511,COM,2001,CNS,208,,,,
2002,2,17,"Directive of the European Parliament and of the Council
establishing a general framework for informing and
consulting employees in the European Community",V,,,32002L0014,1998,612,COM,1998,COD,315,,,,"Two different NoUniqueType in Celex document (1998/SYN/315 and 1998/COD/315). 1998/COD/315 as indicated in pre-lex document is right. "
2002,2,18,"Directive of the European Parliament and of the Council on
the organisation of the working time of persons performing
mobile road-transport activities",V,,"ES, FI, EL",32002L0015,1998,662-3,COM,1998,COD,319,,,,"Two different NoUniqueType in Celex document (1998/SYN/319 and 1998/COD/319). 1998/COD/319 as indicated in pre-lex document is right. ProposChrono in ŒIL and Celex document (662) is wrong. 662-3 as indicated in Pre-lex document is right. "
2002,2,19,"Council Decision setting up Eurojust with a view to
reinforcing the fight against serious crime",U,,,32002D0187,2000,19,JAI,2000,CNS,817,,,,"ProposAnnee, ProposChrono, ProposOrigine, NoUniqueAnnee, NoUniqueType and NoUniqueChrono are missing in Celex document. ProposAnnee, ProposChrono and ProposOrigine are missing in ŒIL document"
2002,2,20,"Council Decision concerning control measures and criminal
sanctions in respect of the new synthetic drug PMMA",U,,,32002D0188,2001,734,COM,NULL,CS,NULL,,,,"ProposAnnee, ProposChrono, ProposOrigine, NoUniqueAnnee, NoUniqueType and NoUniqueChrono are missing in Celex document"
