ReleveAnnee,ReleveMois,NoOrdre,TitreRMC,AdopCSRegleVote,AdopCSAbs,AdoptCSContre,NoCELEX,ProposAnnee,ProposChrono,ProposOrigine,NoUniqueAnnee,NoUniqueType,NoUniqueChrono,ProposSplittee,Suite2eLecturePE,"Council Path",Notes
2004,1,1,"Council Regulation (EC) No 139/2004 of 20 January 2004 on the control of concentrations between undertakings (the EC Merger Regulation) (Text with EEA relevance)",U,,,32004R0139,2002,711,COM,2002,CNS,296,,,,
2004,1,2,"Council Directive 2004/7/EC of 20 January 2004 amending Directive 77/388/EEC concerning the common system of value added tax, as regards conferment of implementing powers and the procedure for adopting derogations",U,,,32004L0007,2003,335,COM,2003,CNS,120,,,,
2004,1,3,"Directive 2004/9/EC of the European Parliament and of the Council of 11 February 2004 on the inspection and verification of good laboratory practice (GLP) (Codified version) (Text with EEA relevance)",V,,,32004L0009,2002,529,COM,2002,COD,233,,,,
2004,1,4,"Directive 2004/10/EC of the European Parliament and of the Council of 11 February 2004 on the harmonisation of laws, regulations and administrative provisions relating to the application of the principles of good laboratory practice and the verification of their applications for tests on chemical substances (codified version) (Text with EEA relevance)",V,,,32004L0010,2002,530,COM,2002,COD,231,,,,"ProposAnnee, proposChrono, ProposOrigine, NoUniqueAnnee, NoUniqueType and NoUniqueChrono are wrong on Celex document (2002/529/COM and 2002/COD/233). These NoUnique* and Propos* refer to the previous act. 2002/530/COM and 2002/COD/231 as indicated on Prelex and ŒIL documents are correct"
2004,1,5,"Directive 2004/11/EC of the European Parliament and of the Council of 11 February 2004 amending Council Directive 92/24/EEC relating to speed limitation devices or similar speed limitation on-board systems of certain categories of motor vehicles",V,,,32004L0011,2003,350,COM,2003,COD,122,,,,"ProposAnnee, proposChrono, ProposOrigine, NoUniqueAnnee, NoUniqueType and NoUniqueChrono are missing on Celex document "
2004,1,6,"2004/100/EC: Council Decision of 26 January 2004 establishing a Community action programme to promote active European citizenship (civic participation)",U,,,32004D0100,2003,276,COM,2003,CNS,116,,,,
2004,1,7,"Directive 2004/8/EC of the European Parliament and of the Council of 11 February 2004 on the promotion of cogeneration based on a useful heat demand in the internal energy market and amending Directive 92/42/EEC",V,,,32004L0008,2002,415,COM,2002,COD,185,,,,
2004,1,8,"Directive 2004/12/EC of the European Parliament and of the Council of 11 February 2004 amending Directive 94/62/EC on packaging and packaging waste - Statement by the Council, the Commission and the European Parliament",V,,"AT, NL",32004L0012,2001,729,COM,2001,COD,291,,,,
2004,1,9,"Regulation (EC) No 261/2004 of the European Parliament and of the Council of 11 February 2004 establishing common rules on compensation and assistance to passengers in the event of denied boarding and of cancellation or long delay of flights, and repealing Regulation (EEC) No 295/91 (Text with EEA relevance) - Commission Statement",V,DE,"IE, UK",32004R0261,2001,784,COM,2001,COD,305,,,,"ProposChrono on Celex document is wrong (305). 784 as indicated on Pre-lex and Œil documents is correct"
2004,1,10,"Decision No 280/2004/EC of the European Parliament and of the Council of 11 February 2004 concerning a mechanism for monitoring Community greenhouse gas emissions and for implementing the Kyoto Protocol",V,,,32004D0280,2003,51,COM,2003,COD,29,,,,
