ReleveAnnee,ReleveMois,NoOrdre,TitreRMC,AdopCSRegleVote,AdopCSAbs,AdoptCSContre,NoCELEX,ProposAnnee,ProposChrono,ProposOrigine,NoUniqueAnnee,NoUniqueType,NoUniqueChrono,ProposSplittee,"Suite2eLecture PE","Council Path",Notes
2005,1,1,"Council Regulation (EC) No 173/2005 of 24 January 2005 amending Regulation (EC) No 1260/1999 laying down general provisions on the Structural Funds concerning the extension of the duration of the PEACE programme and the granting of new commitment appropriations",U,,,32005R0173,2004,631,COM,2004,AVC,224,,,,
2005,1,2,"Council Regulation (EC) No 177/2005 of 24 January 2005 concerning Community financial contributions to the International Fund for Ireland (2005-2006)",U,,,32005R0177,2004,632,COM,2004,CNS,228,,,,"NoUNiqueAnnee in Pre-lex document is wrong (2000). Hence the ŒIL link on Pre-lex document does not work. NoUniqueAnnee is 2004 as indicated on Celex document. The right ŒIL PATH is:http://www.europarl.europa.eu/oeil/popups/ficheprocedure.do?reference=2004/0228%28CNS%29&l=en"
2005,1,3,"Regulation (EC) No 396/2005 of the European Parliament and of the Council of 23 February 2005 on maximum residue levels of pesticides in or on food and feed of plant and animal origin and amending Council Directive 91/414/EECText with EEA relevance.",V,,,32005R0396,2003,117,COM,2003,COD,52,,,,
2005,2,1,"Council Directive 2005/19/EC of 17 February 2005 amending Directive 90/434/EEC 1990 on the common system of taxation applicable to mergers, divisions, transfers of assets and exchanges of shares concerning companies of different Member States",U,,,32005L0019,2003,613,COM,2003,CNS,239,,,,
2005,2,2,"2005/153/EC: Council Decision of 17 February 2005 authorising the United Kingdom to apply an exemption from climate change levy for low-value solid fuel in accordance with Article 19 of Directive 2003/96/EC",U,,,32005D0153,2004,742,COM,NULL,CS,NULL,,,,"ProposAnnee, ProposChrono, ProposOrigine,  are missing on Celex document"
2005,2,3,"Council Regulation (EC) No 293/2005 of 17 February 2005 amending Regulation (EC) No 866/2004 on a regime under Article 2 of Protocol 10 to the Act of Accession as regards agriculture and facilities for persons crossing the line",V,,,32005R0293,2004,751,COM,NULL,CS,NULL,,,,"ProposAnnee, ProposChrono, ProposOrigine,  are missing on Celex document"
2005,2,4,"Council Regulation (EC) No 289/2005 of 17 February 2005 amending Regulation (EC) No 88/98 as regards the extension of the trawling ban to Polish waters",V,,,32005R0289,2004,622,COM,NULL,CS,NULL,,,,"ProposAnnee, ProposChrono, ProposOrigine,  are missing on Celex document"
2005,2,5,"Directive 2005/20/EC of the European Parliament and of the Council of 9 March 2005 amending Directive 94/62/EC on packaging and packaging waste",V,,,32005L0020,2004,127,COM,2004,COD,45,,,,
2005,2,6,"Regulation (EC) No 648/2005 of the European Parliament and of the Council of 13 April 2005 amending Council Regulation (EEC) No 2913/92 establishing the Community Customs Code",V,,,32005R0648,2003,452-3,COM,2003,COD,167,,Y,,"ProposChrono on ŒIL and Celex documents is wrong (452). 452-3 as indicated on Pre-lex document is correct"
2005,2,8,"Council Framework Decision 2005/222/JHA of 24 February 2005 on attacks against information systems",U,,,32005F0222,2002,173,COM,2002,CNS,86,,,,"NoCelex on the top-right of Pre-lex document is missing. See at the bottom"
