ReleveAnnee,ReleveMois,NoOrdre,TitreRMC,AdopCSRegleVote,AdopCSAbs,AdoptCSContre,NoCELEX,ProposAnnee,ProposChrono,ProposOrigine,NoUniqueAnnee,NoUniqueType,NoUniqueChrono,ProposSplittee,Suite2eLecturePE,"Council Path",Notes
2007,1,1,"Directive 2007/2/EC of the European Parliament and of the Council of 14 March 2007 establishing an Infrastructure for Spatial Information in the European Community (INSPIRE)",V,,,32007L0002,2004,516,COM,2004,COD,175,,,,
2007,1,2,"Council decision authorising Romania to apply a reduced rate of VAT to certain labour-intensive services referred to in Article 106 of Directive 2006/112/EC",V,,,32007D0050,2006,736,COM,NULL,CS,NULL,,,,
2007,1,3,"Council Decision extending the application of Decision 2000/91/EC authorising the Kingdom of Denmark and the Kingdom of Sweden to apply a measure derogating from Article 17 of the Sixth Council Directive (77/388/EC) on the harmonisation of the laws of the Member States relating to turnover taxes",U,,,32007D0132,2006,796,COM,NULL,CS,NULL,,,,
2007,1,4,"Council Decision authorising Estonia, Slovenia, Sweden and the United Kingdom to apply a special measure derogating from Article 167 of Council Directive 2006/112/EC on the common system of value added tax",U,,,32007D0133,2006,802,COM,NULL,CS,NULL,,,,
2007,2,1,"Council Regulation providing for duty-free treatment for specified pharmaceutical active ingredients bearing an ""international non-proprietary name"" (INN) from the World Health Organisation and specified products used for the manufacture of finished pharmaceuticals and amending Annex I to Regulation (EEC) No 2658/87",V,,,32007R0129,2006,616,COM,2006,ACC,204,,,,
2007,2,2,"Council Regulation establishing a European Union Agency for Fundamental Rights",U,,,32007R0168,2005,"280 - 1",COM,2005,CNS,124,,,,"Proposchrono  in ŒIL and Celex documents is wrong (280). 280-1 as indicated in Pre-lex document is right"
2007,2,3,"Council Regulation amending Annex V to Regulation (EC) No 850/2004 of the European Parliament and of the Council on persistent organic pollutants",V,,"BE, DK, FR",32007R0172,2006,252,COM,NULL,CS,NULL,,,,"Proposannée, ProposChrono and Proposorigine are not in the Celex document"
2007,2,4,"Council Regulation establishing an Instrument for Nuclear Safety Cooperation",U,,,32007R0300,2004,630,COM,2006,CNS,802,Y,,,"Two Celex references in Pre-lex document. The right one is 32007R0300. NUnique on  Prelex and Celex  documents (COD 2004 223) is wrong. It refers to the act that comes from the splitted proposal.the right N°Unique is 2006/CNS/802."
2007,2,5,"Council Regulation on the establishment of a Joint Undertaking to develop the new generation European air traffic management system (SESAR)",V,,,32007R0219,2005,"602 - 2",COM,2005,CNS,235,,,,"Proposchrono in ŒIL and Celex documents is wrong (602). 602-2 as indicated in Pre-lex document is correct"
2007,3,1,"Council Decision establishing a Civil Protection Financial Instrument",U,,,32007D0162,2005,113,COM,2005,CNS,52,,,,
2007,3,2,"Council Regulation laying down transitional measures derogating from Regulation (EC) No 2597/97as regards drinking milk produced in Estonia",V,,,32007R0315,2007,48,COM,2007,CNS,21,,,,
2007,3,3,"Council Regulation amending Annex I to Regulation (EEC) No 2658/87 on the tariff and statistical nomenclature and on the Common Customs Tariff",V,,,32007R0301,2006,788,COM,NULL,CS,NULL,,,,"Proposannée, ProposChrono and Proposorigine are missing in the Celex document"
2007,3,4,"Regulation of the European Parliament and of the Council amending Regulation (EC) No 417/2002 on the accelerated phasing-in of double-hull or equivalent design requirements for single-hull oil tankers",V,EL,,32007R0457,2006,111,COM,2006,COD,46,,,,"Proposannée, ProposChrono and Proposorigine are missing in the Celex document"
2007,3,5,"Regulation of the European Parliament and of the Council on the European system of integrated social protection statistics (ESSPROS)",V,,,32007R0458,2006,11,COM,2006,COD,4,,,,
2007,3,6,"Council Decision establishing the European Joint Undertaking for ITER and the Development of Fusion Energy and conferring advantages upon it",U,,,32007D0198,2006,458,COM,NULL,CS,NULL,,,,"Proposannée, ProposChrono and Proposorigine are not on the Celex document"
