ReleveAnnee,ReleveMois,NoOrdre,TitreRMC,AdopCSRegleVote,AdopCSAbs,AdoptCSContre,NoCELEX,ProposAnnee,ProposChrono,ProposOrigine,NoUniqueAnnee,NoUniqueType,NoUniqueChrono,ProposSplittee,Suite2eLecturePE,"Council Path",Notes
2008,1,1,"

Regulation (EC) No 109/2008 of the European Parliament and of the Council of 15 January 2008 amending Regulation (EC) No 1924/2006 on nutrition and health claims made on foods
",V,,,32008R0109,2007,368,COM,2007,COD,128,,,,"There is a mistake in the Summary of January 2008. The act adopted by the Council on January 11th (by written procedure) is not the regulation No 107/2008 but the regulation No 109/2008 (whose title does not refer to the implementing powers conferred on the Commission.) The regulation No 107/2008 was adopted by the Council in December 2007. See http://ec.europa.eu/prelex/detail_dossier_real.cfm?CL=en&DosId=195905 for Pre-Lex document and celex: http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32008R0109:FR:NOT
OEIL: http://www.europarl.europa.eu/oeil/FindByProcnum.do?lang=1&procnum=COD/2007/0128. 
"
2008,1,2,"Council Regulation (EC) No 40/2008 of 16 January 2008 fixing for 2008 the
fishing opportunities and associated conditions for certain fish stocks and
groups of fish stocks, applicable in Community waters and, for Community
vessels, in waters where catch limitations are required",V,,,32008R0040,2007,759,COM,NULL,CS,NULL,,,,"ProposAnnee, ProposChrono, ProposOrigine, NoUniqueAnnee, NoUniqueType and NoUnique are missing in Celex document"
2008,1,3,"Council Decision adapting Annex VIII to the Act of Accession of Bulgaria
and Romania",U,,,32009D0172,2007,594,COM,2007,CNS,217,,,,"Celex number in Pre-lex document (52009D0172) is wrong; the link to Celex document from Pre-lex document does not work. Celex number as indicated in the Celex document (32009D0172) is correct. "
2008,1,4,"Council Regulation (EC) No 78/2008 of 21 January 2008 on the measures to
be undertaken by the Commission in 2008-2013 making use of the remotesensing
applications developed within the framework of the common
agricultural policy",V,,,32008R0078,2007,383,COM,2007,CNS,132,,,,
2008,1,5,"Regulation (EC) No 176/2008 of the European Parliament and of the
Council
of 20 February 2008 amending Regulation (EC) No 1059/2003 on the
establishment of a common classification of territorial units for statistics
(NUTS) by reason of the accession of Bulgaria and Romania to the
European Union",V,,,32008R0176,2007,95,COM,2007,COD,38,,,,
2008,1,6,"Regulation (EC) No 177/2008 of the European Parliament and of the
Council of 20 February 2008 establishing a common framework for business
registers for statistical purposes and repealing Council Regulation (EEC) No
2186/93",V,,,32008R0177,2005,112,COM,2005,COD,32,,,,
2008,1,7,"2008/84/EC: Council Decision of 22 January 2008 authorising the Federal
Republic of Germany and the Republic of Poland to apply measures
derogating from Article 5 of Council Directive 2006/112/EC on the common
system of value added tax",U,,,32008D0084,2007,771,COM,NULL,CS,NULL,,,,"ProposAnnee, ProposChrono, ProposOrigine, NoUniqueAnnee, NoUniqueType and NoUniqueChrono are missing in Celex document"
2008,1,8,"Council Regulation (EC) No 75/2008 of 28 January 2008 amending
Regulation (EC) No 1207/2001 on procedures to facilitate the issue or the
making out in the Community of proofs of origin and the issue of certain
approved exporter authorisations under the provisions governing preferential
trade between the European Community and certain countries",V,,,32008R0075,2007,728,COM,2007,ACC,254,,,,
2008,1,9,"Directive 2008/6/EC of the European Parliament and of the Council of 20 February 2008 amending Directive 97/67/EC with regard to the full accomplishment of the internal market of Community postal services",V,,,32008L0006,2006,594,COM,2006,COD,196,,Y,,
2008,1,10,"Regulation (EC) No 216/2008 of the European Parliament and of the
Council of 20 February 2008 on common rules in the field of civil aviation
and establishing a European Aviation Safety Agency, and repealing Council
Directive 91/670/EEC, Regulation (EC) No 1592/2002 and Directive
2004/36/EC",V,,,32008R0216,2005,579,COM,2005,COD,228,,,,
